# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "reference/GCF_000013465.1_ASM1346v1_genomic.gff" "-o" "counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "-p" "-T" "4" "alignments/C1.sorted.bam" "alignments/C2.sorted.bam" "alignments/C3.sorted.bam" "alignments/E1.sorted.bam" "alignments/E2.sorted.bam" "alignments/E3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C1.sorted.bam	alignments/C2.sorted.bam	alignments/C3.sorted.bam	alignments/E1.sorted.bam	alignments/E2.sorted.bam	alignments/E3.sorted.bam
SAUSA300_RS03665	NC_007793.1	757234	757998	+	765	1163	934	4876	12064	13586	12042
SAUSA300_RS03670	NC_007793.1	757995	758915	+	921	873	614	2551	19136	19839	17402
SAUSA300_RS03675	NC_007793.1	758921	760879	+	1959	2552	1456	4510	91714	105036	93385
SAUSA300_RS03685	NC_007793.1	761187	762368	+	1182	1319	705	1396	665	524	442
SAUSA300_RS03690	NC_007793.1	762589	763938	+	1350	8403	3897	8428	5182	4759	5102
SAUSA300_RS03695	NC_007793.1	764160	764999	+	840	383	266	730	942	848	866
SAUSA300_RS03700	NC_007793.1	765131	766114	+	984	1057	669	1253	2468	2589	2222
SAUSA300_RS03705	NC_007793.1	766186	767241	-	1056	6862	4214	8351	3764	2988	3093
SAUSA300_RS03710	NC_007793.1	767241	767927	-	687	3817	2597	4498	2042	1835	1717
SAUSA300_RS03715	NC_007793.1	767902	768375	-	474	1636	1122	2154	706	774	745
SAUSA300_RS03720	NC_007793.1	768717	769157	-	441	846	794	2181	1716	1859	1559
SAUSA300_RS03725	NC_007793.1	769437	770021	-	585	1554	759	1540	1462	1173	1186
SAUSA300_RS03730	NC_007793.1	770120	770833	-	714	1740	918	1927	735	587	641
SAUSA300_RS03735	NC_007793.1	770837	771256	-	420	689	414	701	283	202	265
SAUSA300_RS03740	NC_007793.1	771258	771926	-	669	1120	636	1064	229	135	155
SAUSA300_RS03745	NC_007793.1	772277	772870	+	594	234	113	267	87	29	81
SAUSA300_RS03750	NC_007793.1	772854	774005	+	1152	759	423	835	351	215	248
SAUSA300_RS03755	NC_007793.1	774005	774613	+	609	628	328	626	296	181	266
SAUSA300_RS03760	NC_007793.1	774679	774885	+	207	567	347	686	239	149	155
SAUSA300_RS03765	NC_007793.1	774973	775683	+	711	1823	1050	2036	634	432	568
SAUSA300_RS03770	NC_007793.1	775667	776671	+	1005	2835	1626	3192	988	709	886
SAUSA300_RS03775	NC_007793.1	777145	779085	+	1941	50380	27947	59733	28690	24762	26221
SAUSA300_RS03785	NC_007793.1	779356	781239	+	1884	4902	2554	5133	3392	2631	3220
SAUSA300_RS03790	NC_007793.1	781251	783032	+	1782	7364	3785	7130	3806	3229	3956
SAUSA300_RS03795	NC_007793.1	783254	784231	+	978	910	545	968	1721	1273	1452
SAUSA300_RS03800	NC_007793.1	784224	785738	+	1515	1902	1183	1922	4884	3571	4403
SAUSA300_RS03805	NC_007793.1	785978	787036	+	1059	590	451	1239	2147	2067	2070
SAUSA300_RS03810	NC_007793.1	787387	787929	+	543	1469	910	2353	1680	1387	1475
SAUSA300_RS03815	NC_007793.1	788553	789470	-	918	916	661	1904	1863	1861	1532
SAUSA300_RS03820	NC_007793.1	789561	789662	+	102	39	23	39	30	10	20
SAUSA300_RS03825	NC_007793.1	789740	791245	-	1506	23434	14899	33544	2766	1874	2386
SAUSA300_RS15970	NC_007793.1	791311	791556	-	246	1581	1006	1998	169	98	156
SAUSA300_RS03830	NC_007793.1	791586	792086	-	501	1852	1077	2618	357	267	278
SAUSA300_RS03835	NC_007793.1	792106	792972	-	867	2870	1656	3872	353	264	296
SAUSA300_RS03840	NC_007793.1	793773	794171	+	399	4245	2116	3890	2150	1552	2059
SAUSA300_RS03845	NC_007793.1	794134	796239	+	2106	25387	12556	27774	20164	17169	19383
SAUSA300_RS03850	NC_007793.1	796357	797328	+	972	18723	10362	19405	9693	8216	8640
SAUSA300_RS03860	NC_007793.1	797842	797997	+	156	11	6	8	4	1	1
SAUSA300_RS03865	NC_007793.1	798036	799007	+	972	377	204	451	1102	863	1003
SAUSA300_RS03870	NC_007793.1	798994	799950	+	957	403	199	325	948	816	986
SAUSA300_RS03875	NC_007793.1	799947	800708	+	762	450	225	328	954	880	922
SAUSA300_RS03880	NC_007793.1	800827	801855	+	1029	2005	1127	1548	8628	8760	8787
SAUSA300_RS03885	NC_007793.1	802172	802486	-	315	1007	624	1459	426	350	413
SAUSA300_RS03890	NC_007793.1	802504	803427	-	924	2602	1438	3672	874	740	833
SAUSA300_RS03895	NC_007793.1	803554	804072	-	519	780	434	762	154	81	59
SAUSA300_RS03900	NC_007793.1	804192	805070	+	879	996	574	1041	486	332	333
SAUSA300_RS03905	NC_007793.1	805224	805544	+	321	3683	1963	4041	523	563	476
SAUSA300_RS03910	NC_007793.1	805969	807093	+	1125	3896	2057	3404	5050	4393	4154
SAUSA300_RS03915	NC_007793.1	807282	808508	-	1227	4592	2724	6733	3767	3632	3679
SAUSA300_RS03920	NC_007793.1	808522	809016	-	495	641	368	749	320	260	250
SAUSA300_RS03925	NC_007793.1	809034	809795	-	762	796	466	1032	228	139	165
SAUSA300_RS03930	NC_007793.1	809991	811061	-	1071	5798	3096	8307	1037	940	1055
SAUSA300_RS03935	NC_007793.1	811379	812434	+	1056	4658	2476	6420	1162	823	905
SAUSA300_RS03940	NC_007793.1	812604	813245	-	642	1251	697	1921	3384	2617	3535
SAUSA300_RS03945	NC_007793.1	813389	814255	+	867	9463	5177	12329	2095	1957	2219
SAUSA300_RS03950	NC_007793.1	814619	815701	+	1083	793	429	863	163	90	96
SAUSA300_RS03955	NC_007793.1	815694	816368	+	675	383	179	427	128	83	66
SAUSA300_RS03960	NC_007793.1	816429	817001	+	573	13212	10813	46827	94014	104911	103435
SAUSA300_RS03965	NC_007793.1	817415	819946	+	2532	19965	10454	22623	30346	30569	31770
SAUSA300_RS03970	NC_007793.1	819988	820092	+	105	149	67	101	132	134	147
SAUSA300_RS03975	NC_007793.1	820261	821371	+	1111	2864	1573	3260	2124	1875	2321
SAUSA300_RS03980	NC_007793.1	821525	821632	+	108	35	10	25	26	12	9
SAUSA300_RS03985	NC_007793.1	821780	822619	+	840	285	173	417	182	121	140
SAUSA300_RS03990	NC_007793.1	822793	823443	+	651	920	558	871	599	410	323
SAUSA300_RS03995	NC_007793.1	823440	823676	+	237	238	128	234	143	85	66
SAUSA300_RS04000	NC_007793.1	823945	825930	+	1986	5085	2347	5628	9823	8929	9205
SAUSA300_RS04005	NC_007793.1	825938	828784	+	2847	9324	4654	9970	22119	23930	23012
SAUSA300_RS04010	NC_007793.1	829446	830378	+	933	2923	1687	3561	1712	1528	1375
SAUSA300_RS04015	NC_007793.1	830384	831223	+	840	1817	1004	1889	942	761	742
SAUSA300_RS04020	NC_007793.1	831231	831716	+	486	1241	618	1262	719	564	586
SAUSA300_RS04025	NC_007793.1	831724	833163	+	1440	4260	2280	4224	2188	2011	2083
SAUSA300_RS04030	NC_007793.1	833230	834165	+	936	8158	4035	7977	41898	39237	43278
SAUSA300_RS04040	NC_007793.1	835045	835956	+	912	3072	1529	3321	5168	4630	5324
SAUSA300_RS04045	NC_007793.1	835953	836948	+	996	3588	1925	4421	8123	8279	8148
SAUSA300_RS04050	NC_007793.1	837058	838002	+	945	5160	2602	5829	9038	9666	9681
SAUSA300_RS04060	NC_007793.1	838576	839163	+	588	5603	3643	8748	171651	170086	177296
SAUSA300_RS04065	NC_007793.1	839406	840308	-	903	1567	955	2643	7079	5494	6218
SAUSA300_RS04070	NC_007793.1	841010	841639	+	630	1730	1104	2624	2251	1393	2000
SAUSA300_RS04075	NC_007793.1	842281	843294	+	1014	44365	27291	77277	16347	14880	15392
SAUSA300_RS04080	NC_007793.1	843347	844357	+	1011	71252	43475	116501	59507	62179	63054
SAUSA300_RS04085	NC_007793.1	844496	845686	+	1191	22534	12456	27443	27497	30937	29591
SAUSA300_RS04090	NC_007793.1	845808	846569	+	762	19541	11162	21166	23260	26123	24603
SAUSA300_RS04095	NC_007793.1	846572	848089	+	1518	38447	21810	44136	44374	49210	47415
SAUSA300_RS04100	NC_007793.1	848219	849523	+	1305	50672	29372	68323	85492	89313	93169
SAUSA300_RS04105	NC_007793.1	849863	850321	+	459	2920	1764	4765	682	640	595
SAUSA300_RS04110	NC_007793.1	850388	850621	+	234	8375	5165	14283	2489	1873	2328
SAUSA300_RS04115	NC_007793.1	850737	851477	+	741	7409	3674	9380	1574	1326	1553
SAUSA300_RS04120	NC_007793.1	851511	853883	+	2373	22448	10794	29293	6809	5852	6443
SAUSA300_RS04125	NC_007793.1	853905	854369	+	465	3889	2024	5723	1347	1300	1295
SAUSA300_RS15205	NC_007793.1	854460	854821	+	362	235522	157159	523253	422664	488639	458885
SAUSA300_RS04135	NC_007793.1	855691	856014	-	324	368	239	475	52	77	78
SAUSA300_RS15975	NC_007793.1	856030	856176	-	147	181	93	213	33	37	32
SAUSA300_RS04145	NC_007793.1	856368	857096	-	729	674	416	653	120	98	103
SAUSA300_RS04150	NC_007793.1	857532	857687	+	156	7	1	10	6	2	5
SAUSA300_RS04160	NC_007793.1	858355	858885	+	531	336	166	317	69	72	53
SAUSA300_RS04165	NC_007793.1	859148	861949	+	2802	4270	2496	6292	10003	11016	9006
SAUSA300_RS04170	NC_007793.1	862170	863696	+	1527	983	487	786	87	8	9
SAUSA300_RS04175	NC_007793.1	864047	865069	+	1023	304	230	543	160	190	116
SAUSA300_RS04180	NC_007793.1	865404	865874	+	471	296	135	360	70	43	40
SAUSA300_RS04185	NC_007793.1	866215	866901	+	687	1455	774	971	38	38	45
SAUSA300_RS04190	NC_007793.1	867258	867458	+	201	59340	30664	152376	12026	9370	19875
SAUSA300_RS04195	NC_007793.1	867954	868172	-	219	306	158	384	207	197	134
SAUSA300_RS04200	NC_007793.1	868234	868518	-	285	380	212	466	198	219	152
SAUSA300_RS04205	NC_007793.1	868606	869175	-	570	623	324	791	91	79	66
SAUSA300_RS04210	NC_007793.1	869363	869551	-	189	211	140	232	196	178	170
SAUSA300_RS04215	NC_007793.1	869580	869840	-	261	184	138	247	152	207	155
SAUSA300_RS04220	NC_007793.1	870181	870384	+	204	810	621	1919	5909	5336	4774
SAUSA300_RS04225	NC_007793.1	870381	870617	-	237	543	400	1382	2733	2846	2765
SAUSA300_RS04230	NC_007793.1	870842	871423	+	582	685	381	629	170	123	124
SAUSA300_RS04235	NC_007793.1	871496	872113	-	618	1194	839	2030	1126	976	1119
SAUSA300_RS04240	NC_007793.1	872268	872762	-	495	798	557	1905	632	771	520
SAUSA300_RS04245	NC_007793.1	873161	873583	-	423	147	92	360	640	587	495
SAUSA300_RS04250	NC_007793.1	873731	874447	+	717	251	170	276	363	436	297
SAUSA300_RS04255	NC_007793.1	874530	875069	+	540	1378	807	2165	3740	2848	3294
SAUSA300_RS04260	NC_007793.1	875219	875539	-	321	823	606	1121	9077	7547	8333
SAUSA300_RS04265	NC_007793.1	875683	876039	+	357	1046	707	1389	1727	1423	1337
SAUSA300_RS04270	NC_007793.1	876197	876577	+	381	7292	4547	9005	6393	6300	5530
SAUSA300_RS04280	NC_007793.1	876756	877634	+	879	725	473	922	1191	1229	1088
SAUSA300_RS04290	NC_007793.1	878376	878762	+	387	395	213	440	646	659	607
SAUSA300_RS04295	NC_007793.1	878755	879051	+	297	312	143	281	398	419	352
SAUSA300_RS04300	NC_007793.1	879301	880326	+	1026	1626	899	2412	563	421	575
SAUSA300_RS04305	NC_007793.1	880319	881014	+	696	803	464	1327	305	279	348
SAUSA300_RS04310	NC_007793.1	881032	881853	+	822	1546	978	2282	833	701	807
SAUSA300_RS04315	NC_007793.1	881996	883216	-	1221	614	330	604	95	99	62
SAUSA300_RS04320	NC_007793.1	883304	884032	-	729	880	558	777	151	119	80
SAUSA300_RS04325	NC_007793.1	884056	884784	-	729	767	391	572	105	47	49
SAUSA300_RS04330	NC_007793.1	884801	885259	-	459	581	275	500	75	57	57
SAUSA300_RS04335	NC_007793.1	885271	885603	-	333	678	389	689	114	101	103
SAUSA300_RS04340	NC_007793.1	885796	886059	+	264	29	13	56	89	79	51
SAUSA300_RS04345	NC_007793.1	886052	886324	+	273	30	17	23	61	60	53
SAUSA300_RS15215	NC_007793.1	886336	886509	+	174	9	10	7	16	27	14
SAUSA300_RS04350	NC_007793.1	886476	886679	+	204	9	7	8	14	21	18
SAUSA300_RS04355	NC_007793.1	886681	887064	+	384	60	25	63	53	69	66
SAUSA300_RS04360	NC_007793.1	887065	887313	+	249	74	37	55	56	52	33
SAUSA300_RS04365	NC_007793.1	887405	889777	+	2373	496	212	424	680	560	534
SAUSA300_RS04370	NC_007793.1	890448	890792	+	345	152	59	137	184	145	125
SAUSA300_RS04375	NC_007793.1	891017	891223	+	207	87	20	76	70	95	75
SAUSA300_RS04380	NC_007793.1	891210	892268	+	1059	666	459	881	1226	1234	1106
SAUSA300_RS04385	NC_007793.1	892452	892943	+	492	358	210	356	371	414	406
SAUSA300_RS04390	NC_007793.1	893372	894340	+	969	11623	6639	13396	2728	1650	1858
SAUSA300_RS04395	NC_007793.1	894575	895129	-	555	821	504	844	408	500	352
SAUSA300_RS04400	NC_007793.1	896163	896357	+	195	9718	7985	23546	83639	88903	77510
SAUSA300_RS04405	NC_007793.1	896590	897441	-	852	3988	2531	5117	1603	1297	1190
SAUSA300_RS04410	NC_007793.1	897769	898530	+	762	11310	6680	15588	11719	10578	11054
SAUSA300_RS04415	NC_007793.1	898628	899935	+	1308	15647	8740	22446	20860	20357	20164
SAUSA300_RS04420	NC_007793.1	900041	901291	+	1251	13237	7490	17916	20369	20166	19707
SAUSA300_RS04425	NC_007793.1	901281	901745	+	465	6124	3552	7706	9496	10001	9258
SAUSA300_RS04430	NC_007793.1	901896	903293	+	1398	18532	10572	23535	32436	34754	33076
SAUSA300_RS04435	NC_007793.1	903480	903617	+	138	53	35	62	19	29	36
SAUSA300_RS04440	NC_007793.1	903623	903937	-	315	73	41	98	53	39	44
SAUSA300_RS04445	NC_007793.1	904302	905342	+	1041	661	313	468	921	663	593
SAUSA300_RS04450	NC_007793.1	905356	906423	+	1068	566	277	318	382	184	177
SAUSA300_RS04455	NC_007793.1	906490	906588	+	99	38	9	18	8	4	18
SAUSA300_RS04460	NC_007793.1	906636	907484	+	849	1775	912	2124	1242	847	885
SAUSA300_RS04465	NC_007793.1	907497	908324	+	828	1403	636	1328	1056	835	851
SAUSA300_RS04470	NC_007793.1	908351	909670	+	1320	3324	1538	3253	2829	2313	2356
SAUSA300_RS04475	NC_007793.1	909754	910671	+	918	11117	5701	12460	10021	9156	9889
SAUSA300_RS04480	NC_007793.1	910801	911184	+	384	1429	899	1765	1246	1204	1138
SAUSA300_RS04485	NC_007793.1	911263	911529	-	267	587	262	650	173	110	144
SAUSA300_RS04490	NC_007793.1	911627	912061	+	435	1608	973	1973	280	270	234
SAUSA300_RS04495	NC_007793.1	912061	912840	+	780	2732	1497	3220	591	521	498
SAUSA300_RS04500	NC_007793.1	912873	913832	+	960	3796	2101	4703	1325	1311	1172
SAUSA300_RS04505	NC_007793.1	914086	914196	+	111	538	311	433	41	22	21
SAUSA300_RS04510	NC_007793.1	914244	914396	+	153	1444	780	1274	109	83	66
SAUSA300_RS04515	NC_007793.1	914412	915869	+	1458	19667	10787	20750	1725	1359	1317
SAUSA300_RS04520	NC_007793.1	915866	917080	+	1215	18006	10160	18651	2207	1829	2066
SAUSA300_RS04525	NC_007793.1	917098	917334	+	237	4879	2814	4954	614	450	561
SAUSA300_RS04530	NC_007793.1	917331	918506	+	1176	26836	15997	32091	3290	2836	2965
SAUSA300_RS04535	NC_007793.1	918769	919011	-	243	2549	1581	4263	2735	2615	2866
SAUSA300_RS04540	NC_007793.1	919112	919435	+	324	824	462	1294	301	281	246
SAUSA300_RS04545	NC_007793.1	919494	920558	-	1065	3574	2108	5196	2388	2456	2027
SAUSA300_RS04550	NC_007793.1	920875	921111	+	237	485	322	699	2035	1586	2045
SAUSA300_RS04555	NC_007793.1	921124	921483	+	360	1104	671	1828	3072	2774	3407
SAUSA300_RS04560	NC_007793.1	921937	923145	+	1209	31369	17418	35863	6948	6724	6503
SAUSA300_RS04565	NC_007793.1	923276	924751	+	1476	1850	1134	1978	927	796	655
SAUSA300_RS04570	NC_007793.1	925162	926478	+	1317	3383	1668	4045	1279	1196	1043
SAUSA300_RS04575	NC_007793.1	926497	926871	+	375	1388	791	1957	747	792	827
SAUSA300_RS04580	NC_007793.1	926927	928081	-	1155	290	141	306	6131	5454	5912
SAUSA300_RS04585	NC_007793.1	928330	928686	-	357	3891	2581	5288	2424	2473	2596
SAUSA300_RS04590	NC_007793.1	928664	928957	-	294	2016	1178	2909	1216	1109	1334
SAUSA300_RS04595	NC_007793.1	928957	929436	-	480	5788	3949	7259	3474	3064	3431
SAUSA300_RS04600	NC_007793.1	929438	930934	-	1497	15273	9728	20668	8972	8680	9227
SAUSA300_RS04605	NC_007793.1	930927	931268	-	342	3314	2081	4128	2123	2010	2258
SAUSA300_RS04610	NC_007793.1	931268	931696	-	429	3554	2055	3959	2011	1903	2138
SAUSA300_RS04615	NC_007793.1	931689	934094	-	2406	23985	15422	30192	13966	10945	13278
SAUSA300_RS04620	NC_007793.1	934225	934608	-	384	361	232	648	183	140	168
SAUSA300_RS04625	NC_007793.1	934672	935265	+	594	2071	1318	2991	3061	3049	2951
SAUSA300_RS04630	NC_007793.1	935681	936058	+	378	9430	5935	16754	6149	4456	7531
SAUSA300_RS04635	NC_007793.1	936420	937547	+	1128	995	555	1099	15040	11325	16650
SAUSA300_RS04640	NC_007793.1	937855	939045	+	1191	3355	2045	7070	34291	37461	33456
SAUSA300_RS04645	NC_007793.1	939154	940398	+	1245	7160	4138	15049	60599	66447	61439
SAUSA300_RS04655	NC_007793.1	940901	941830	-	930	470	267	716	953	1097	901
SAUSA300_RS04660	NC_007793.1	942072	943451	-	1380	2846	2315	6754	11479	19744	12836
SAUSA300_RS04665	NC_007793.1	943441	944646	-	1206	3083	2602	9964	9286	15203	10420
SAUSA300_RS04670	NC_007793.1	944997	946328	+	1332	12821	7613	13550	23706	21647	25730
SAUSA300_RS04675	NC_007793.1	946653	947228	+	576	2219	1186	2502	891	799	764
SAUSA300_RS04680	NC_007793.1	947233	947757	+	525	2903	1530	3081	803	682	632
SAUSA300_RS04685	NC_007793.1	947773	948348	+	576	3445	1736	3668	1269	1172	1216
SAUSA300_RS04690	NC_007793.1	948508	951984	+	3477	3412	1860	3846	5611	5743	5372
SAUSA300_RS04695	NC_007793.1	951985	955638	+	3654	6142	3645	6665	10604	11413	11292
SAUSA300_RS04700	NC_007793.1	955804	956706	+	903	7256	4704	11160	26723	26721	27940
SAUSA300_RS04705	NC_007793.1	957035	957424	+	390	1886	953	2156	503	552	399
SAUSA300_RS04710	NC_007793.1	957595	958911	-	1317	8348	5032	11716	11796	10405	13019
SAUSA300_RS04715	NC_007793.1	958963	959787	-	825	2840	1814	4056	4398	3399	4597
SAUSA300_RS04720	NC_007793.1	959901	960209	+	309	3783	2322	4924	14789	13629	15492
SAUSA300_RS04725	NC_007793.1	960756	962570	+	1815	356	196	356	536	445	514
SAUSA300_RS04730	NC_007793.1	962773	965382	+	2610	5998	3459	8126	359401	427728	382371
SAUSA300_RS04735	NC_007793.1	965441	966310	-	870	35	16	20	364	464	343
SAUSA300_RS04740	NC_007793.1	966420	967565	+	1146	57	21	44	295	290	221
SAUSA300_RS04745	NC_007793.1	967549	968190	+	642	85	44	59	112	120	86
SAUSA300_RS04750	NC_007793.1	968183	969301	+	1119	219	102	200	96	48	41
SAUSA300_RS04755	NC_007793.1	969285	969800	+	516	180	152	227	131	112	74
SAUSA300_RS04760	NC_007793.1	970111	970545	+	435	243	134	375	359	433	392
SAUSA300_RS04765	NC_007793.1	970802	970987	-	186	2728	1746	5044	1822	1718	1656
SAUSA300_RS04770	NC_007793.1	971282	972223	+	942	7188	4051	6639	941	616	954
SAUSA300_RS04775	NC_007793.1	972235	973479	+	1245	15787	8726	16304	7167	6562	6874
SAUSA300_RS04785	NC_007793.1	974149	975075	+	927	3034	1274	2645	334	289	278
SAUSA300_RS04790	NC_007793.1	975075	976145	+	1071	3159	1407	2482	423	330	339
SAUSA300_RS04795	NC_007793.1	976162	977244	+	1083	4289	2105	3202	822	643	757
SAUSA300_RS04800	NC_007793.1	977234	978175	+	942	3584	1837	3052	839	772	921
SAUSA300_RS04805	NC_007793.1	978194	979849	+	1656	8244	4647	7882	2415	2222	2451
SAUSA300_RS04810	NC_007793.1	980061	981776	+	1716	44	15	49	66	32	31
SAUSA300_RS04815	NC_007793.1	981827	982813	+	987	42	32	25	57	6	16
SAUSA300_RS04820	NC_007793.1	982816	983796	+	981	178	74	127	43	17	14
SAUSA300_RS04825	NC_007793.1	983789	984751	+	963	298	159	280	47	40	13
SAUSA300_RS04830	NC_007793.1	984763	985644	+	882	210	104	236	176	50	66
SAUSA300_RS04835	NC_007793.1	985686	986675	-	990	2807	1708	3570	541	426	448
SAUSA300_RS04840	NC_007793.1	986970	987365	+	396	63432	46025	131236	35637	44643	43628
SAUSA300_RS04845	NC_007793.1	987736	988455	+	720	4456	2617	5904	12744	12184	13652
SAUSA300_RS04855	NC_007793.1	989609	991417	+	1809	2320	1356	1819	1257	925	670
SAUSA300_RS04860	NC_007793.1	991877	992683	-	807	1153	685	1785	1730	1222	1034
SAUSA300_RS04865	NC_007793.1	992706	993071	-	366	625	405	1130	668	445	443
SAUSA300_RS04870	NC_007793.1	993175	993768	-	594	211	174	549	136	142	190
SAUSA300_RS04875	NC_007793.1	993954	994301	+	348	606	340	789	508	366	403
SAUSA300_RS04880	NC_007793.1	994318	994953	+	636	1239	758	1793	1120	930	886
SAUSA300_RS04885	NC_007793.1	994970	995779	+	810	2534	1448	3650	2478	2255	2304
SAUSA300_RS04890	NC_007793.1	995776	996630	+	855	1356	705	1413	823	686	770
SAUSA300_RS04895	NC_007793.1	996651	998036	+	1386	3013	1644	3297	1368	1227	1350
SAUSA300_RS04900	NC_007793.1	998046	999890	+	1845	5574	3172	6410	2599	2373	2571
SAUSA300_RS04905	NC_007793.1	1000168	1000938	+	771	10255	5668	14018	6404	4895	6288
SAUSA300_RS04910	NC_007793.1	1001133	1002218	-	1086	7113	4414	11518	2148	1914	1882
SAUSA300_RS04915	NC_007793.1	1002560	1004128	+	1569	2117	1395	3678	1208	854	803
SAUSA300_RS04920	NC_007793.1	1004270	1005028	+	759	781	456	827	366	275	236
SAUSA300_RS04925	NC_007793.1	1005222	1005731	+	510	6412	4117	14430	6229	6366	5699
SAUSA300_RS04930	NC_007793.1	1005844	1007034	-	1191	4712	2629	4932	3704	2489	2663
SAUSA300_RS04935	NC_007793.1	1007012	1008187	-	1176	4407	2355	5331	3604	2375	2288
SAUSA300_RS04940	NC_007793.1	1008620	1010101	+	1482	6238	3015	6137	1104	763	909
SAUSA300_RS04945	NC_007793.1	1010094	1010345	+	252	993	575	970	208	130	190
SAUSA300_RS04950	NC_007793.1	1010345	1011907	+	1563	10136	5345	11920	2210	1630	2102
SAUSA300_RS04955	NC_007793.1	1012209	1013012	+	804	6448	4001	10368	3125	2754	4098
SAUSA300_RS04960	NC_007793.1	1013231	1015555	+	2325	1645	858	1501	288	150	191
SAUSA300_RS04965	NC_007793.1	1015572	1016930	+	1359	4370	2589	4949	1036	629	836
SAUSA300_RS04970	NC_007793.1	1017069	1018580	+	1512	1691	981	2524	1153	953	988
SAUSA300_RS04975	NC_007793.1	1018760	1018848	-	89	2	3	1	3	0	0
SAUSA300_RS04980	NC_007793.1	1018851	1018925	-	75	21	15	36	0	3	1
SAUSA300_RS04985	NC_007793.1	1019067	1019636	-	570	67	40	82	38	16	13
SAUSA300_RS04990	NC_007793.1	1019846	1020064	+	219	2654	2671	14973	3405	3660	3510
SAUSA300_RS04995	NC_007793.1	1020145	1021131	-	987	1550	916	1354	2325	1626	1594
SAUSA300_RS05000	NC_007793.1	1021330	1021506	+	177	3738	2023	4146	1432	1165	1310
SAUSA300_RS05005	NC_007793.1	1021521	1022123	+	603	7546	4236	9042	3129	2504	3185
SAUSA300_RS15985	NC_007793.1	1022439	1022501	+	63	1308	1025	3490	2206	2030	2272
SAUSA300_RS05015	NC_007793.1	1023040	1023141	+	102	10	6	14	0	1	0
SAUSA300_RS15255	NC_007793.1	1023151	1023423	+	273	54	34	100	65	54	36
SAUSA300_RS05020	NC_007793.1	1023467	1025431	+	1965	205	118	261	311	144	157
SAUSA300_RS05025	NC_007793.1	1025434	1025754	+	321	58	23	38	102	71	70
SAUSA300_RS05030	NC_007793.1	1025751	1026392	+	642	94	42	106	261	216	216
SAUSA300_RS15260	NC_007793.1	1026480	1026770	-	291	1301	745	1512	396	440	358
SAUSA300_RS05040	NC_007793.1	1027049	1027336	+	288	395	251	468	62	39	19
SAUSA300_RS05045	NC_007793.1	1027342	1028823	+	1482	2755	1681	3367	303	210	216
SAUSA300_RS05050	NC_007793.1	1028912	1029268	-	357	2378	1403	2513	49	15	19
SAUSA300_RS05055	NC_007793.1	1029745	1030704	+	960	332	168	352	96	44	72
SAUSA300_RS05060	NC_007793.1	1030750	1030881	-	132	197	142	406	613	651	676
SAUSA300_RS05065	NC_007793.1	1030945	1031160	-	216	361	222	518	769	639	689
SAUSA300_RS05070	NC_007793.1	1031325	1031876	+	552	279	174	257	514	413	306
SAUSA300_RS05075	NC_007793.1	1031928	1032866	-	939	3198	2090	3701	707	591	525
SAUSA300_RS15990	NC_007793.1	1033017	1033121	+	105	41	29	16	28	20	18
SAUSA300_RS05080	NC_007793.1	1033087	1034409	+	1323	3021	1385	2567	1974	1622	1388
SAUSA300_RS05085	NC_007793.1	1034396	1036069	+	1674	6111	2916	5701	4296	4108	3330
SAUSA300_RS05090	NC_007793.1	1036056	1036859	+	804	3753	2099	3899	2769	2798	2567
SAUSA300_RS05095	NC_007793.1	1036852	1037673	+	822	9660	5036	11440	14685	14561	15271
SAUSA300_RS05100	NC_007793.1	1037912	1038241	-	330	72	53	144	63	50	42
SAUSA300_RS05105	NC_007793.1	1038279	1039460	-	1182	300	220	355	153	111	101
SAUSA300_RS05110	NC_007793.1	1039542	1040552	-	1011	212	152	231	85	77	69
SAUSA300_RS05115	NC_007793.1	1041080	1042234	-	1155	2318	1363	3311	1522	1073	1160
SAUSA300_RS05120	NC_007793.1	1042430	1043440	-	1011	1067	662	984	792	654	757
SAUSA300_RS05125	NC_007793.1	1043593	1044012	+	420	430	298	715	173	193	104
SAUSA300_RS05130	NC_007793.1	1044039	1044149	+	111	26	16	32	7	12	5
SAUSA300_RS05135	NC_007793.1	1044219	1047989	-	3771	12635	7238	12788	10009	9588	9739
SAUSA300_RS05140	NC_007793.1	1048217	1048651	-	435	259	138	277	176	129	163
SAUSA300_RS05145	NC_007793.1	1048806	1049276	-	471	2424	1414	3076	1093	948	1170
SAUSA300_RS05150	NC_007793.1	1049324	1050541	-	1218	5620	3288	7647	2385	1806	2277
SAUSA300_RS05155	NC_007793.1	1050992	1052185	+	1194	2055	1114	2103	251	163	155
SAUSA300_RS05160	NC_007793.1	1052722	1053000	-	279	9215	5240	15565	4014	4163	4375
SAUSA300_RS05165	NC_007793.1	1053009	1053614	-	606	21357	11962	31093	7697	7539	7889
SAUSA300_RS05170	NC_007793.1	1053604	1055592	-	1989	77190	44430	110379	22398	20610	23085
SAUSA300_RS05175	NC_007793.1	1055592	1056692	-	1101	43284	25336	67424	9520	8286	10253
SAUSA300_RS05180	NC_007793.1	1056994	1057116	+	123	26	10	42	10	13	14
SAUSA300_RS05185	NC_007793.1	1057264	1057581	-	318	3781	2833	6786	1094	972	1065
